ticker,company,ipo_date,offer_price,sector,total_proceeds_m
MDJH,MDJM Ltd.,2019-01-08,5.0,Unknown,100.0
NFE,New Fortress Energy Inc.,2019-01-31,14.0,Energy,100.0
INMB,INmune Bio Inc.,2019-02-04,8.0,Healthcare,100.0
ALEC,"Alector, Inc.",2019-02-07,19.0,Healthcare,100.0
HARP,"Harpoon Therapeutics, Inc.",2019-02-08,14.0,Unknown,100.0
GOSS,"Gossamer Bio, Inc.",2019-02-08,16.0,Healthcare,100.0
ANCN,Anchiano Therapeutics,2019-02-12,11.5,Unknown,100.0
BACK,"IMAC Holdings, Inc.",2019-02-13,5.13,Healthcare,100.0
TCRR,TCR2 Therapeutics Inc.,2019-02-14,15.0,Unknown,100.0
AVDR,"Avedro, Inc.",2019-02-14,14.0,Unknown,100.0
MITO,Stealth BioTherapeutics Corp.,2019-02-15,12.0,Unknown,100.0
HOTH,"Hoth Therapeutics, Inc.",2019-02-15,5.6,Healthcare,100.0
SOLY,"Soliton, Inc.",2019-02-19,5.0,Unknown,100.0
SLE,"Super League Enterprise, Inc.",2019-02-26,11.0,Communication Services,100.0
KLDO,"Kaleido Biosciences, Inc.",2019-02-28,15.0,Healthcare,100.0
SWAV,"Shockwave Medical, Inc.",2019-03-07,17.0,Unknown,100.0
FUTU,Futu Holdings Limited,2019-03-08,12.0,Financial Services,100.0
TIGR,UP Fintech Holding Limited,2019-03-20,8.0,Financial Services,100.0
LEVI,Levi Strauss & Co.,2019-03-21,17.0,Consumer Cyclical,100.0
GNFT,Genfit S.A.,2019-03-27,22.0,Unknown,100.0
DTIL,"Precision BioSciences, Inc.",2019-03-28,16.0,Healthcare,100.0
WTRE,Watford Holdings Ltd.,2019-03-28,25.26,Unknown,100.0
LYFT,"Lyft, Inc.",2019-03-29,72.0,Technology,2340.0
RUHN,Ruhnn Holding Limited,2019-04-03,12.5,Unknown,100.0
TW,Tradeweb Markets Inc.,2019-04-04,27.0,Financial Services,100.0
SILK,"Silk Road Medical, Inc.",2019-04-04,20.0,Unknown,100.0
NGM,"NGM Biopharmaceuticals, Inc.",2019-04-04,16.0,Unknown,100.0
TUFN,Tufin Software Technologies Ltd.,2019-04-11,14.0,Unknown,100.0
PD,"PagerDuty, Inc.",2019-04-11,24.0,Technology,100.0
JMIA,Jumia Technologies AG,2019-04-12,14.5,Consumer Cyclical,100.0
TPTX,"Turning Point Therapeutics, Inc.",2019-04-17,18.0,Unknown,100.0
PLMR,"Palomar Holdings, Inc.",2019-04-17,15.0,Financial Services,100.0
BWAY,BrainsWay Ltd.,2019-04-17,11.0,Healthcare,100.0
GNLN,"Greenlane Holdings, Inc.",2019-04-18,17.0,Consumer Defensive,100.0
HOOK,HOOKIPA Pharma Inc.,2019-04-18,14.0,Healthcare,100.0
ZM,"Zoom Communications, Inc.",2019-04-18,36.0,Technology,751.0
PINS,"Pinterest, Inc.",2019-04-18,19.0,Communication Services,1400.0
MNRL,"Brigham Minerals, Inc.",2019-04-18,18.0,Unknown,100.0
WAFU,Wah Fu Education Group Limited,2019-04-30,5.0,Consumer Defensive,100.0
SY,So-Young International Inc.,2019-05-02,13.8,Healthcare,100.0
BYND,"Beyond Meat, Inc.",2019-05-02,25.0,Consumer Defensive,241.0
TMDX,"TransMedics Group, Inc.",2019-05-02,16.0,Healthcare,100.0
YJ,Yunji Inc.,2019-05-03,11.0,Consumer Cyclical,100.0
SCPL,SciPlay Corporation,2019-05-03,16.0,Unknown,100.0
RRBI,"Red River Bancshares, Inc.",2019-05-03,45.0,Financial Services,100.0
ATIF,ATIF Holdings Limited,2019-05-03,5.0,Unknown,100.0
PSN,Parsons Corporation,2019-05-08,27.0,Technology,100.0
HHR,Headhunter Group PLC,2019-05-09,13.5,Unknown,100.0
AXLA,"Axcella Health, Inc.",2019-05-09,20.0,Unknown,100.0
NXTC,"NextCure, Inc.",2019-05-09,15.0,Healthcare,100.0
QNCX,"Quince Therapeutics, Inc.",2019-05-09,17.0,Healthcare,100.0
MEC,"Mayville Engineering Company, Inc.",2019-05-09,17.0,Industrials,100.0
SPFI,"South Plains Financial, Inc.",2019-05-09,17.5,Financial Services,100.0
SONM,"DNA X, Inc.",2019-05-10,11.0,Technology,100.0
UBER,"Uber Technologies, Inc.",2019-05-10,45.0,Technology,8100.0
JFIN,Jiayin Group Inc.,2019-05-10,10.5,Communication Services,100.0
PSTL,"Postal Realty Trust, Inc.",2019-05-15,17.0,Real Estate,100.0
LKNCY,"Luckin Coffee, Inc.",2019-05-17,17.0,Consumer Cyclical,100.0
FSLY,"Fastly, Inc.",2019-05-17,16.0,Technology,100.0
AVTR,"Avantor, Inc.",2019-05-17,14.0,Healthcare,100.0
RTLR,Rattler Midstream LP,2019-05-23,17.5,Unknown,100.0
BCYC,Bicycle Therapeutics plc,2019-05-23,14.0,Healthcare,100.0
GOTU,Gaotu Techedu Inc.,2019-06-06,10.5,Consumer Defensive,100.0
RVLV,"Revolve Group, Inc.",2019-06-07,18.0,Consumer Cyclical,100.0
CRWD,"CrowdStrike Holdings, Inc.",2019-06-12,34.0,Technology,612.0
FVRR,Fiverr International Ltd.,2019-06-13,21.0,Communication Services,111.0
CHWY,"Chewy, Inc.",2019-06-14,22.0,Consumer Cyclical,1020.0
STOK,"Stoke Therapeutics, Inc.",2019-06-19,18.0,Healthcare,100.0
WORK,"Slack Technologies, Inc.",2019-06-20,26.0,Unknown,838.0
PRVL,Prevail Therapeutics Inc.,2019-06-20,17.0,Unknown,100.0
GO,Grocery Outlet Holding Corp.,2019-06-20,22.0,Consumer Defensive,100.0
BCEL,"Atreca, Inc.",2019-06-20,17.0,Unknown,100.0
AKRO,"Akero Therapeutics, Inc.",2019-06-20,16.0,Unknown,100.0
PSNL,"Personalis, Inc.",2019-06-20,17.0,Healthcare,100.0
LINX,Linx S.A.,2019-06-26,9.4,Unknown,100.0
CMBM,Cambium Networks Corporation,2019-06-26,12.0,Technology,100.0
CHNG,"Change Healthcare, Inc.",2019-06-27,13.0,Unknown,100.0
BBIO,"BridgeBio Pharma, Inc.",2019-06-27,17.0,Healthcare,100.0
ADPT,Adaptive Biotechnologies Corporation,2019-06-27,20.0,Healthcare,100.0
MORF,"Morphic Holding, Inc.",2019-06-27,15.0,Unknown,100.0
REAL,"The RealReal, Inc.",2019-06-28,20.0,Consumer Cyclical,100.0
KRTX,"Karuna Therapeutics, Inc.",2019-06-28,16.0,Unknown,100.0
DOYU,DouYu International Holdings Limited,2019-07-17,11.5,Communication Services,100.0
IHRT,"iHeartMedia, Inc.",2019-07-18,17.0,Communication Services,100.0
AMK,"Amkor Technology, Inc.",2019-07-18,22.0,Unknown,100.0
MIRM,"Mirum Pharmaceuticals, Inc.",2019-07-18,15.0,Healthcare,100.0
PHR,"Phreesia, Inc.",2019-07-18,17.0,Healthcare,100.0
FULC,"Fulcrum Therapeutics, Inc.",2019-07-18,16.0,Healthcare,100.0
MDLA,"Medallia, Inc.",2019-07-19,21.0,Unknown,100.0
IFS,Intercorp Financial Services Inc.,2019-07-19,46.0,Financial Services,100.0
AFYA,Afya Limited,2019-07-19,19.0,Consumer Defensive,100.0
EIC,Eagle Point Income Company Inc.,2019-07-24,19.0,Financial Services,100.0
PROS,"ProSight Global, Inc.",2019-07-25,14.0,Unknown,100.0
NOVA,"Sunnova Energy International, Inc.",2019-07-25,12.0,Unknown,100.0
LVGO,Livongo Health,2019-07-25,28.0,Unknown,100.0
HCAT,"Health Catalyst, Inc.",2019-07-25,26.0,Healthcare,100.0
CSTL,"Castle Biosciences, Inc.",2019-07-25,16.0,Healthcare,100.0
WSG,Wanda Sports Group Co. Ltd.,2019-07-26,8.0,Unknown,100.0
VIST,"Vista Energy, S.A.B. de C.V.",2019-07-26,9.0,Energy,100.0
BORR,Borr Drilling Limited,2019-07-31,9.3,Energy,100.0
DT,"Dynatrace, Inc.",2019-08-01,16.0,Technology,100.0
SNDL,SNDL Inc.,2019-08-01,13.0,Consumer Defensive,100.0
KRUS,"Kura Sushi USA, Inc.",2019-08-01,14.0,Consumer Cyclical,100.0
AMTD,AMTD IDEA Group,2019-08-05,8.38,Financial Services,100.0
INMD,InMode Ltd.,2019-08-08,14.0,Healthcare,100.0
BTOG,Bit Origin Ltd,2019-08-14,5.0,Financial Services,100.0
JFU,9F Inc.,2019-08-15,9.5,Technology,100.0
CFB,"CrossFirst Bankshares, Inc.",2019-08-15,14.5,Unknown,100.0
TXG,"10x Genomics, Inc.",2019-09-12,39.0,Healthcare,100.0
ALRS,Alerus Financial Corporation,2019-09-13,21.0,Financial Services,100.0
NET,"Cloudflare, Inc.",2019-09-13,15.0,Technology,100.0
STSA,"Satsuma Pharmaceuticals, Inc.",2019-09-13,15.0,Unknown,100.0
SWTX,"Springworks Therapeutics, Inc.",2019-09-13,18.0,Unknown,100.0
IGMS,"IGM Biosciences, Inc.",2019-09-18,16.0,Unknown,100.0
XGN,Exagen Inc.,2019-09-19,14.0,Healthcare,100.0
PING,Ping Identity Holding Corp.,2019-09-19,15.0,Unknown,100.0
DDOG,"Datadog, Inc.",2019-09-19,27.0,Technology,648.0
PTON,"Peloton Interactive, Inc.",2019-09-26,29.0,Consumer Cyclical,1160.0
OPRT,Oportun Financial Corporation,2019-09-26,15.0,Financial Services,100.0
APRE,"Aprea Therapeutics, Inc.",2019-10-03,15.0,Healthcare,100.0
MCBS,"MetroCity Bankshares, Inc.",2019-10-03,13.5,Financial Services,100.0
KRRO,"Korro Bio, Inc.",2019-10-03,14.0,Healthcare,100.0
VIE,Viela Bio,2019-10-03,19.0,Unknown,100.0
BNTX,BioNTech SE,2019-10-10,15.0,Healthcare,100.0
VIR,"Vir Biotechnology, Inc.",2019-10-11,20.0,Healthcare,100.0
HBT,"HBT Financial, Inc.",2019-10-11,16.0,Financial Services,100.0
IPHA,Innate Pharma S.A.,2019-10-17,5.5,Healthcare,100.0
BRBR,"BellRing Brands, Inc.",2019-10-17,14.0,Consumer Defensive,100.0
DAO,"Youdao, Inc.",2019-10-25,17.0,Consumer Defensive,100.0
CABA,"Cabaletta Bio, Inc.",2019-10-25,11.0,Healthcare,100.0
PGNY,"Progyny, Inc.",2019-10-25,13.0,Healthcare,100.0
PHAT,"Phathom Pharmaceuticals, Inc.",2019-10-25,19.0,Healthcare,100.0
PAVS,Paranovus Entertainment Technology Ltd.,2019-10-25,5.5,Consumer Defensive,100.0
TFFP,TFF Group,2019-10-25,5.0,Unknown,100.0
RAPT,"Rapt Therapeutics, Inc.",2019-10-31,12.0,Healthcare,100.0
OYST,"Oyster Point Pharma, Inc.",2019-10-31,16.0,Unknown,100.0
DUO,Fangdd Network Group Ltd.,2019-11-01,13.0,Real Estate,100.0
CNTG,Centogene N.V.,2019-11-07,14.0,Unknown,100.0
GRTX,"Galera Therapeutics, Inc.",2019-11-07,12.0,Healthcare,100.0
KRKR,36Kr Holdings Inc.,2019-11-08,14.5,Communication Services,100.0
TELA,"TELA Bio, Inc.",2019-11-08,13.0,Healthcare,100.0
ETNB,"89bio, Inc.",2019-11-11,16.0,Unknown,100.0
CAN,Canaan Inc.,2019-11-21,9.0,Technology,100.0
SITM,SiTime Corporation,2019-11-21,13.0,Technology,100.0
PINE,"Alpine Income Property Trust, Inc.",2019-11-22,19.0,Real Estate,100.0
LMPX,"LMP Automotive Holdings, Inc.",2019-12-05,5.0,Consumer Cyclical,100.0
XP,XP Inc.,2019-12-11,27.0,Financial Services,100.0
EH,EHang Holdings Limited,2019-12-12,12.5,Industrials,100.0
BILL,"BILL Holdings, Inc.",2019-12-12,22.0,Technology,216.0
SPT,"Sprout Social, Inc.",2019-12-13,17.0,Technology,100.0
MNPR,Monopar Therapeutics Inc.,2019-12-19,8.0,Healthcare,100.0
INDO,Indonesia Energy Corporation Limited,2019-12-19,11.0,Energy,100.0
MKDTY,Molecular Data Inc.,2019-12-30,5.38,Basic Materials,100.0
VEL,"Velocity Financial, Inc.",2020-01-17,13.0,Financial Services,100.0
SOGP,Sound Group Inc.,2020-01-17,11.0,Communication Services,100.0
DNK,Phoenix Tree Holdings Ltd.,2020-01-17,13.5,Unknown,100.0
ANVS,"Annovis Bio, Inc.",2020-01-29,6.0,Healthcare,100.0
FRES,Fresh2 Group Ltd.,2020-01-30,12.0,Unknown,100.0
BDTX,"Black Diamond Therapeutics, Inc.",2020-01-30,19.0,Healthcare,100.0
ONEM,"1Life Healthcare, Inc.",2020-01-31,14.0,Unknown,100.0
ARQT,"Arcutis Biotherapeutics, Inc.",2020-01-31,17.0,Healthcare,100.0
REYN,Reynolds Consumer Products Inc.,2020-01-31,26.0,Consumer Cyclical,100.0
SDGR,"SchrÃ¶dinger, Inc.",2020-02-06,17.0,Healthcare,100.0
PPD,"PPD, Inc.",2020-02-06,27.0,Unknown,100.0
CSPR,"Casper Sleep, Inc.",2020-02-06,12.0,Unknown,100.0
BEAM,Beam Therapeutics Inc.,2020-02-06,17.0,Healthcare,100.0
PFHD,Professional Holding Corp.,2020-02-07,18.5,Unknown,100.0
ONEW,OneWater Marine Inc.,2020-02-07,12.0,Consumer Cyclical,100.0
NREF,"NexPoint Real Estate Finance, Inc.",2020-02-07,19.0,Real Estate,100.0
HUIZ,Huize Holding Limited,2020-02-12,10.5,Financial Services,100.0
SDOT,Sadot Group Inc.,2020-02-13,5.0,Consumer Defensive,100.0
RVMD,"Revolution Medicines, Inc.",2020-02-13,17.0,Healthcare,100.0
PASG,"Passage Bio, Inc.",2020-02-28,18.0,Healthcare,100.0
GFL,GFL Environmental Inc.,2020-03-03,19.0,Industrials,100.0
ELVN,"Enliven Therapeutics, Inc.",2020-03-12,16.0,Healthcare,100.0
WIMI,WiMi Hologram Cloud Inc.,2020-04-01,5.5,Communication Services,100.0
ZNTL,"Zentalis Pharmaceuticals, Inc.",2020-04-03,18.0,Healthcare,100.0
KROS,"Keros Therapeutics, Inc.",2020-04-08,16.0,Healthcare,100.0
ORIC,"ORIC Pharmaceuticals, Inc.",2020-04-24,16.0,Healthcare,100.0
LYRA,"Lyra Therapeutics, Inc.",2020-05-01,16.0,Healthcare,100.0
GAN,"Naturgy Energy Group, S.A.",2020-05-05,8.5,Unknown,100.0
KC,Kingsoft Cloud Holdings Limited,2020-05-08,17.0,Technology,100.0
CLEU,China Liberal Education Holdings Limited,2020-05-08,6.0,Unknown,100.0
AYLA,"Ayala Pharmaceuticals, Inc.",2020-05-08,15.0,Unknown,100.0
ADCT,ADC Therapeutics SA,2020-05-15,19.0,Healthcare,100.0
SLQT,"SelectQuote, Inc.",2020-05-21,20.0,Financial Services,100.0
NARI,"Inari Medical, Inc.",2020-05-22,19.0,Unknown,100.0
WMG,Warner Music Group Corp.,2020-06-03,25.0,Communication Services,100.0
PLRX,"Pliant Therapeutics, Inc.",2020-06-03,16.0,Healthcare,100.0
ZI,ZoomInfo Technologies Inc.,2020-06-04,21.0,Unknown,935.0
LEGN,Legend Biotech Corporation,2020-06-05,23.0,Healthcare,100.0
FOUR,"Shift4 Payments, Inc.",2020-06-05,23.0,Technology,100.0
DADA,Dada Nexus Limited,2020-06-05,16.0,Unknown,100.0
CALT,Calliditas Therapeutics AB,2020-06-05,19.5,Unknown,100.0
AMTI,"Applied Molecular Transport, Inc.",2020-06-05,14.0,Unknown,100.0
VRM,"Vroom, Inc.",2020-06-09,22.0,Financial Services,100.0
UCL,uCloudlink Group Inc.,2020-06-10,18.0,Communication Services,100.0
LTRN,Lantern Pharma Inc.,2020-06-11,15.0,Healthcare,100.0
GBIO,Generation Bio Co.,2020-06-12,19.0,Healthcare,100.0
AZEK,The AZEK Company Inc.,2020-06-12,23.0,Unknown,100.0
RNA,"Avidity Biosciences, Inc.",2020-06-12,18.0,Healthcare,100.0
PCVX,"Vaxcyte, Inc.",2020-06-12,16.0,Healthcare,100.0
BNR,Burning Rock Biotech Limited,2020-06-12,16.5,Healthcare,100.0
RPRX,Royalty Pharma plc,2020-06-16,28.0,Healthcare,100.0
RPTX,"Repare Therapeutics, Inc.",2020-06-19,20.0,Unknown,100.0
NUZE,"NuZee, Inc.",2020-06-19,9.0,Unknown,100.0
GTH,Genetron Holdings Limited,2020-06-19,16.0,Unknown,100.0
FMTX,"Forma Therapeutics Holdings, Inc.",2020-06-19,20.0,Unknown,100.0
BIOR,"Biora Therapeutics, Inc.",2020-06-19,15.0,Unknown,100.0
PYPD,PolyPid Ltd.,2020-06-26,16.0,Healthcare,100.0
FUSN,"Fusion Pharmaceuticals, Inc.",2020-06-26,17.0,Unknown,100.0
EBON,Ebang International Holdings Inc.,2020-06-26,5.23,Technology,100.0
API,"Agora, Inc.",2020-06-26,20.0,Technology,100.0
AKUS,"Akouos, Inc.",2020-06-26,17.0,Unknown,100.0
ACI,"Albertsons Companies, Inc.",2020-06-26,16.0,Consumer Defensive,100.0
ADTX,"Aditxt, Inc.",2020-06-30,9.0,Healthcare,100.0
DNB,"Dun & Bradstreet Holdings, Inc.",2020-07-01,22.0,Unknown,100.0
ACCD,"Accolade, Inc.",2020-07-02,22.0,Unknown,100.0
LMND,"Lemonade, Inc.",2020-07-02,29.0,Financial Services,319.0
BLCT,BlueCity Holdings Ltd.,2020-07-08,16.0,Unknown,100.0
PSTX,"Poseida Therapeutics, Inc.",2020-07-10,16.0,Unknown,100.0
NKTX,"Nkarta, Inc.",2020-07-10,18.0,Healthcare,100.0
IVA,Inventiva S.A.,2020-07-10,14.4,Healthcare,100.0
NCNO,"nCino, Inc.",2020-07-14,31.0,Technology,100.0
GOCO,"GoHealth, Inc.",2020-07-15,21.0,Financial Services,100.0
TIG,"Trean Insurance Group, Inc.",2020-07-16,15.0,Unknown,100.0
RLAY,"Relay Therapeutics, Inc.",2020-07-16,20.0,Healthcare,100.0
RNLX,Renalytix Plc,2020-07-17,13.5,Unknown,100.0
PAND,"Pandion Therapeutics, Inc.",2020-07-17,18.0,Unknown,100.0
CELL,PhenomeX Inc.,2020-07-17,22.0,Unknown,100.0
ALXO,ALX Oncology Holdings Inc.,2020-07-17,19.0,Healthcare,100.0
PSTH,"Pershing Square Tontine Holdings, Ltd.",2020-07-22,20.0,Unknown,100.0
